"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ubxn12",5.46389880357795e-44,0.719494289957479,0.881,0.373,9.22032923103778e-40,"Stem IR","Ubxn1"
"Eif3j1",5.46712891205908e-44,0.374214376182068,0.495,0.096,9.2257800390997e-40,"Stem IR","Eif3j1"
"Smagp3",5.59729090702105e-44,0.581261456471568,0.706,0.196,9.44542840559802e-40,"Stem IR","Smagp"
"Tmem112",8.01028941437793e-44,0.362461734857467,0.523,0.104,1.35173633867628e-39,"Stem IR","Tmem11"
"Ybx14",8.05466211190992e-44,0.934580153286689,0.991,0.847,1.3592242313848e-39,"Stem IR","Ybx1"
"Oxct13",8.2176118607191e-44,0.65258779795547,0.642,0.177,1.38672200149635e-39,"Stem IR","Oxct1"
"Htra2",8.65397018486769e-44,0.285017743726194,0.376,0.056,1.46035746869642e-39,"Stem IR","Htra2"
"Ccl253",1.05441852920065e-43,0.572969908098243,0.569,0.127,1.7793312680261e-39,"Stem IR","Ccl25"
"Twistnb1",1.1508955030419e-43,0.420002887816728,0.532,0.111,1.9421361613832e-39,"Stem IR","Twistnb"
"Chic2",1.33812207371985e-43,0.555221894273172,0.661,0.177,2.25808099940224e-39,"Stem IR","Chic2"
"Ppa13",1.44365703300887e-43,0.730641670410523,0.862,0.325,2.43617124320247e-39,"Stem IR","Ppa1"
"Fbln12",1.50590394351218e-43,0.25673309845188,0.284,0.033,2.5412129046768e-39,"Stem IR","Fbln1"
"Tomm74",2.04628152796184e-43,0.722931850017382,0.917,0.42,3.45310007843561e-39,"Stem IR","Tomm7"
"Slc25a54",2.09223729752114e-43,0.787182485515161,0.991,0.775,3.53065043956692e-39,"Stem IR","Slc25a5"
"Prpf311",2.2722849557518e-43,0.33061460209791,0.431,0.074,3.83448086283117e-39,"Stem IR","Prpf31"
"Abhd14a2",2.4451130024399e-43,0.320603101949961,0.459,0.081,4.12612819161733e-39,"Stem IR","Abhd14a"
"Pnp4",2.55505139387898e-43,0.645791879773402,0.789,0.256,4.31164922717078e-39,"Stem IR","Pnp"
"Pmpca",2.956591860632e-43,0.346775190516543,0.523,0.105,4.98924876481649e-39,"Stem IR","Pmpca"
"Prkab1",3.06509510872752e-43,0.343042866928273,0.477,0.089,5.17234799597768e-39,"Stem IR","Prkab1"
"Sh3d19",3.39966587189865e-43,0.358303808094944,0.468,0.087,5.73693615882898e-39,"Stem IR","Sh3d19"
"Kcmf1",3.66499675040538e-43,0.479278742423912,0.651,0.168,6.18468201630907e-39,"Stem IR","Kcmf1"
