"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Prpf4b",5.18280586747554e-186,0.68796924539011,0.789,0.422,8.74598490136498e-182,"EE-K H","Prpf4b"
"Pdzrn3",8.75239211763586e-185,0.290215300130972,0.31,0.046,1.47696616985105e-180,"EE-K H","Pdzrn3"
"Cpe2",4.10002566258667e-183,0.641367542511236,0.983,0.745,6.91879330561501e-179,"EE-K H","Cpe"
"Cacna1a1",4.0885948323117e-182,0.618063400318928,0.932,0.679,6.89950377952599e-178,"EE-K H","Cacna1a"
"Srrm2",4.79858239457615e-177,0.695570840356671,0.954,0.877,8.09760779084725e-173,"EE-K H","Srrm2"
"Car8",7.40624368065881e-172,0.431718059740167,0.443,0.107,1.24980362111117e-167,"EE-K H","Car8"
"Vwa5b2",8.48147905295017e-172,0.529887214765867,0.641,0.246,1.43124959018534e-167,"EE-K H","Vwa5b2"
"Dnah9",3.49398319017508e-165,0.293763261023403,0.315,0.055,5.89609663342044e-161,"EE-K H","Dnah9"
"Klhl31",1.47323628802257e-164,0.33969072344988,0.299,0.049,2.48608623603809e-160,"EE-K H","Klhl31"
"Cspp1",1.78404275450365e-163,0.644564106816224,0.63,0.257,3.01057214822492e-159,"EE-K H","Cspp1"
"Maml3",8.36675810816839e-163,0.549879262200217,0.619,0.247,1.41189043075342e-158,"EE-K H","Maml3"
"Bmp1",5.44916684468475e-162,0.373920148462927,0.442,0.116,9.19546905040552e-158,"EE-K H","Bmp1"
"Lars2",4.10645791664685e-159,0.793402598127271,0.951,0.767,6.92964773434156e-155,"EE-K H","Lars2"
"Col6a5",1.62986248854683e-158,0.371784605325517,0.293,0.049,2.75039294942277e-154,"EE-K H","Col6a5"
"Map1b2",1.45244553541465e-153,0.569738340536826,0.754,0.372,2.45100184101222e-149,"EE-K H","Map1b"
"Scgn2",4.53667685955495e-153,0.462133121366648,0.562,0.189,7.65564220049898e-149,"EE-K H","Scgn"
"Pnisr",2.68620446051459e-150,0.597472302731413,0.824,0.568,4.53297002711837e-146,"EE-K H","Pnisr"
"Hk22",3.03091761274493e-150,0.460221022181028,0.605,0.225,5.11467347150707e-146,"EE-K H","Hk2"
"Gnao1",3.60406289588818e-150,0.520890878231228,0.635,0.275,6.0818561368113e-146,"EE-K H","Gnao1"
"Esyt1",7.76783618806271e-146,0.517284442897807,0.576,0.225,1.31082235673558e-141,"EE-K H","Esyt1"
"Ptprn2",2.90470988964743e-145,0.464061194767806,0.574,0.222,4.90169793878004e-141,"EE-K H","Ptprn2"
"Acvr1c",7.09705488448239e-145,0.272193892498276,0.288,0.052,1.1976280117564e-140,"EE-K H","Acvr1c"
"Luc7l3",1.53675153004625e-141,0.541588831480963,0.714,0.377,2.59326820695305e-137,"EE-K H","Luc7l3"
"Uaca",1.6671918836869e-140,0.508429082119906,0.596,0.251,2.81338630372164e-136,"EE-K H","Uaca"
"Rgs11",4.18206962422674e-138,0.266593983943351,0.283,0.053,7.05724249088263e-134,"EE-K H","Rgs11"
"Rnf32",1.03752777376176e-136,0.323591778344412,0.348,0.083,1.75082811822297e-132,"EE-K H","Rnf32"
"Nnat",4.91530573153022e-132,0.537097200450086,0.186,0.021,8.29457842195725e-128,"EE-K H","Nnat"
"Macf1",2.24967600711376e-130,0.516173553639856,0.543,0.22,3.79632826200447e-126,"EE-K H","Macf1"
"Pdzd3",3.87471350282082e-129,0.268667244925554,0.31,0.069,6.53857903601013e-125,"EE-K H","Pdzd3"
"Meg32",7.05081632858698e-129,0.83655285300379,0.253,0.046,1.18982525544905e-124,"EE-K H","Meg3"
"Tmprss7",5.85597152904094e-128,0.289644974529987,0.309,0.069,9.88195195525659e-124,"EE-K H","Tmprss7"
"Abcg2",1.73800307555727e-127,0.428314596205014,0.46,0.158,2.9328801900029e-123,"EE-K H","Abcg2"
"Zranb2",5.13768264203921e-125,0.453559658633611,0.622,0.29,8.66983945844117e-121,"EE-K H","Zranb2"
"Chd7",5.97002694389842e-125,0.488995177223421,0.583,0.26,1.00744204678286e-120,"EE-K H","Chd7"
"Rbp43",2.35474259854783e-124,0.827871906604045,0.789,0.463,3.97362813504946e-120,"EE-K H","Rbp4"
"Arx2",3.51414877117356e-123,0.368046125812728,0.449,0.143,5.93012605135538e-119,"EE-K H","Arx"
"Slc6a192",8.55154992645222e-122,0.455109586729433,0.621,0.284,1.44307405008881e-117,"EE-K H","Slc6a19"
"Fxyd61",1.21613847366078e-120,0.301710957193459,0.367,0.098,2.05223367430256e-116,"EE-K H","Fxyd6"
"Cers6",4.23472231591763e-120,0.427296775659348,0.539,0.229,7.14609390811101e-116,"EE-K H","Cers6"
"Kcnc3",2.79434077968388e-118,0.273584900612937,0.336,0.086,4.71545006571654e-114,"EE-K H","Kcnc3"
"Rimbp2",3.07875711454594e-117,0.45481233937086,0.627,0.298,5.19540263079627e-113,"EE-K H","Rimbp2"
"Son",4.71456110304781e-117,0.47844439062992,0.914,0.845,7.95582186139318e-113,"EE-K H","Son"
"Golga4",7.3585876004197e-116,0.531721216054815,0.77,0.556,1.24176165757082e-111,"EE-K H","Golga4"
"Chd3",2.46840544975029e-112,0.457289577142754,0.633,0.322,4.16543419645362e-108,"EE-K H","Chd3"
"Atrx1",5.58127243220654e-110,0.508624165415638,0.775,0.569,9.41839722934853e-106,"EE-K H","Atrx"
"Prdm16",6.03250424538424e-108,0.291308542151704,0.32,0.086,1.01798509140859e-103,"EE-K H","Prdm16"
"Nr4a22",1.84623644719276e-107,0.457832357301742,0.555,0.236,3.11552400463777e-103,"EE-K H","Nr4a2"
"Fubp1",6.93109400770077e-105,0.454391375357066,0.608,0.313,1.1696221137995e-100,"EE-K H","Fubp1"
"Lhx1",4.33502603150511e-103,0.371149904723973,0.361,0.112,7.31535642816487e-99,"EE-K H","Lhx1"
"Wsb1",8.31420294415568e-101,0.471648934908721,0.564,0.268,1.40302174682627e-96,"EE-K H","Wsb1"
"Rnf19a",7.21318653226246e-100,0.323751608904907,0.384,0.13,1.21722522731929e-95,"EE-K H","Rnf19a"
"Ankrd11",2.79777823832573e-98,0.503517617499751,0.828,0.723,4.72125077717467e-94,"EE-K H","Ankrd11"
"Ctso",1.47807209776259e-97,0.272502462977777,0.343,0.105,2.49424666497438e-93,"EE-K H","Ctso"
"Luc7l2",3.05916691582405e-97,0.453100219593446,0.778,0.6,5.16234417045309e-93,"EE-K H","Luc7l2"
"Smc5",5.04354344536873e-97,0.319668212813366,0.397,0.139,8.51097956405973e-93,"EE-K H","Smc5"
"Rasd12",6.86852191618055e-97,0.548840759526531,0.647,0.351,1.15906307335547e-92,"EE-K H","Rasd1"
"Unc80",4.31036657597563e-96,0.256266610141238,0.3,0.083,7.27374359695888e-92,"EE-K H","Unc80"
"Slc5a1",5.06386454830388e-96,0.280169645114592,0.412,0.143,8.5452714252628e-92,"EE-K H","Slc5a1"
"Rsrp1",5.23393429318025e-95,0.426171894536075,0.884,0.809,8.83226411974167e-91,"EE-K H","Rsrp1"
"Btg21",8.80902805345244e-95,0.576193278173354,0.93,0.89,1.4865234840201e-90,"EE-K H","Btg2"
"Rev3l",5.32434112929252e-94,0.410881351692881,0.517,0.239,8.98482565568113e-90,"EE-K H","Rev3l"
"Gclc2",2.13027112850418e-92,0.412968370027845,0.493,0.219,3.5948325293508e-88,"EE-K H","Gclc"
"Entpd5",7.37977446731067e-91,0.332162106201478,0.403,0.152,1.24533694135868e-86,"EE-K H","Entpd5"
"Gm42418",3.83732016865792e-90,0.306190287136498,1,1,6.47547778461024e-86,"EE-K H","Gm42418"
"Muc42",2.1526590147111e-89,0.408958591287993,0.561,0.274,3.63261208732497e-85,"EE-K H","Muc4"
"Dpyd",2.33403010219986e-89,0.28916764543577,0.412,0.153,3.93867579746227e-85,"EE-K H","Dpyd"
"Fam213a",2.47489779843269e-86,0.306521507902656,0.397,0.151,4.17639003485516e-82,"EE-K H","Fam213a"
"Pex5l",2.72425602768464e-86,0.285950394578042,0.343,0.115,4.59718204671783e-82,"EE-K H","Pex5l"
"Gm609",3.24253704579183e-86,0.45973476536243,0.685,0.432,5.47178126477371e-82,"EE-K H","Gm609"
"Rhou",9.55628209843152e-86,0.382615240875976,0.511,0.243,1.61262260411032e-81,"EE-K H","Rhou"
"Kcnj3",2.47447204907556e-85,0.252310804404686,0.318,0.099,4.17567158281501e-81,"EE-K H","Kcnj3"
"Tbc1d1",4.05933290167776e-83,0.304174209177767,0.417,0.166,6.85012427158123e-79,"EE-K H","Tbc1d1"
"Cplx2",2.56109781173998e-80,0.350523874800083,0.511,0.246,4.32185255731122e-76,"EE-K H","Cplx2"
"Sorbs2",1.82245127572431e-78,0.305272005505675,0.41,0.166,3.07538652778477e-74,"EE-K H","Sorbs2"
"Nktr1",3.6194016476566e-78,0.403184397519544,0.771,0.639,6.10774028042052e-74,"EE-K H","Nktr"
"Hmgcr2",7.21549767704548e-77,0.43523499453006,0.638,0.391,1.21761523300142e-72,"EE-K H","Hmgcr"
"Ddx17",2.00366987387291e-76,0.412526040383675,0.669,0.426,3.38119291216054e-72,"EE-K H","Ddx17"
"Jun2",1.17371350007554e-75,0.458530995739372,0.949,0.897,1.98064153137747e-71,"EE-K H","Jun"
"Rbm391",4.88568268508356e-75,0.356966562343008,0.89,0.85,8.2445895310785e-71,"EE-K H","Rbm39"
"Egr21",5.12507106222321e-73,0.299254695167504,0.331,0.121,8.64855741750167e-69,"EE-K H","Egr2"
"Gm47283",1.00653270064525e-71,0.382192005763375,0.512,0.27,1.69852393233886e-67,"EE-K H","Gm47283"
"Ttc14",6.46502102512316e-70,0.339286820749846,0.525,0.28,1.09097229798953e-65,"EE-K H","Ttc14"
"Pnn",1.12722586572918e-67,0.39987729835747,0.633,0.403,1.902193648418e-63,"EE-K H","Pnn"
"Socs21",2.41112926813664e-67,0.331931252619336,0.481,0.24,4.06878063998059e-63,"EE-K H","Socs2"
"Golim43",4.72068490729707e-67,0.324685952856918,0.633,0.373,7.9661557810638e-63,"EE-K H","Golim4"
"Arc",9.32031948169354e-66,0.344054198781846,0.387,0.166,1.57280391253579e-61,"EE-K H","Arc"
"Cadps1",9.9877157632944e-65,0.329300978363638,0.538,0.291,1.68542703505593e-60,"EE-K H","Cadps"
"Thoc2",1.33757180979651e-64,0.337297132346958,0.54,0.304,2.25715242903161e-60,"EE-K H","Thoc2"
"Pam3",1.61335490771213e-62,0.347546658356596,0.652,0.395,2.72253640676423e-58,"EE-K H","Pam"
"Upf2",7.48195617406548e-62,0.290443087026963,0.407,0.191,1.26258010437355e-57,"EE-K H","Upf2"
"D10Wsu102e",1.47226440143695e-61,0.317449408731093,0.395,0.178,2.48444617742485e-57,"EE-K H","D10Wsu102e"
"Kdm1a",3.05220488919614e-61,0.318818765642485,0.501,0.274,5.15059575051849e-57,"EE-K H","Kdm1a"
"Bend7",5.52836929579472e-59,0.268608122568847,0.377,0.17,9.32912318665359e-55,"EE-K H","Bend7"
"Ascc3",1.54613414216924e-58,0.325121921309968,0.48,0.261,2.60910136491059e-54,"EE-K H","Ascc3"
"Dusp52",1.8257169357643e-58,0.518929896494637,0.598,0.401,3.08089732910226e-54,"EE-K H","Dusp5"
"Rcn1",2.06826814111903e-58,0.336461768749689,0.425,0.211,3.49020248813836e-54,"EE-K H","Rcn1"
"Crebzf",9.88893345196067e-58,0.27698394255074,0.402,0.194,1.66875752001836e-53,"EE-K H","Crebzf"
"Baiap2l21",4.83071784453519e-56,0.313483677477388,0.62,0.391,8.15183636265313e-52,"EE-K H","Baiap2l2"
"Trim35",3.06360144539257e-55,0.267190129365697,0.399,0.193,5.16982743909996e-51,"EE-K H","Trim35"
"Nbea",3.27421337487691e-55,0.331069255706406,0.511,0.295,5.52523507010478e-51,"EE-K H","Nbea"
"Lrba",1.43030684123369e-54,0.28495872875581,0.409,0.204,2.41364279458185e-50,"EE-K H","Lrba"
"Hmgn3",2.41647451943923e-53,0.335020122629642,0.506,0.294,4.0778007515537e-49,"EE-K H","Hmgn3"
"Klhl241",5.66063130931959e-53,0.25663205711,0.365,0.172,9.55231533447681e-49,"EE-K H","Klhl24"
"Arglu1",4.60481316486723e-51,0.329982664728545,0.7,0.573,7.77062221571345e-47,"EE-K H","Arglu1"
"Trim24",7.29121304497712e-51,0.307909508792974,0.514,0.307,1.23039220133989e-46,"EE-K H","Trim24"
"Srek1",1.01937305785622e-50,0.306981996606732,0.489,0.282,1.72019203513238e-46,"EE-K H","Srek1"
"Gpd22",2.89682217550496e-50,0.252974053013663,0.424,0.216,4.88838742116463e-46,"EE-K H","Gpd2"
"Tia12",7.01187112932323e-50,0.278743720743106,0.478,0.27,1.1832532530733e-45,"EE-K H","Tia1"
"Srsf11",1.35347137322395e-49,0.324536715125454,0.662,0.502,2.28398294231542e-45,"EE-K H","Srsf11"
"AY036118",9.25234086409896e-48,0.289806775374692,0.822,0.687,1.5613325208167e-43,"EE-K H","AY036118"
"Fryl",3.97758482131107e-47,0.289685419381185,0.543,0.343,6.71217438596244e-43,"EE-K H","Fryl"
"Snrnp70",1.88709906954264e-46,0.321315027978497,0.716,0.62,3.18447967985321e-42,"EE-K H","Snrnp70"
"Neat11",8.16202356831305e-46,0.326798711666877,0.857,0.825,1.37734147715283e-41,"EE-K H","Neat1"
"Phf3",2.35709848784951e-45,0.270472504749486,0.485,0.288,3.97760369824605e-41,"EE-K H","Phf3"
"Usp34",3.00276042960302e-45,0.292125309541828,0.54,0.349,5.06715822495509e-41,"EE-K H","Usp34"
"Fam46a3",8.99930853246037e-45,0.3826592724967,0.739,0.644,1.51863331485269e-40,"EE-K H","Fam46a"
"Rrbp1",7.67044499217161e-44,0.253573995486157,0.92,0.891,1.29438759242896e-39,"EE-K H","Rrbp1"
"Baz2b",3.577355659057e-43,0.301527835431451,0.556,0.37,6.03678767465869e-39,"EE-K H","Baz2b"
"Ddc1",5.4446589072535e-43,0.306888566977069,0.705,0.574,9.18786190599027e-39,"EE-K H","Ddc"
"Kcnb22",9.67934743397178e-43,0.26071417527536,0.522,0.307,1.63338987948274e-38,"EE-K H","Kcnb2"
"Bod1l",4.88361624583773e-42,0.27889588398096,0.479,0.295,8.24110241485117e-38,"EE-K H","Bod1l"
"Brd1",6.63210879668988e-42,0.296944229292294,0.501,0.319,1.11916835944142e-37,"EE-K H","Brd1"
"Arid4b1",2.81668907072671e-41,0.266791035611877,0.492,0.31,4.75316280685132e-37,"EE-K H","Arid4b"
"Hspa4l",3.052178556182e-40,0.286098612823979,0.493,0.318,5.15055131355712e-36,"EE-K H","Hspa4l"
"Irf2bp2",1.26755257225119e-39,0.292577202998957,0.478,0.304,2.13899496567389e-35,"EE-K H","Irf2bp2"
"Peg33",2.16280221177786e-39,0.347962198096066,0.662,0.498,3.64972873237513e-35,"EE-K H","Peg3"
"Golgb1",1.05524526555523e-38,0.336237169364777,0.607,0.47,1.78072638562444e-34,"EE-K H","Golgb1"
"Phip",1.70144733100157e-38,0.298613178117129,0.536,0.37,2.87119237106516e-34,"EE-K H","Phip"
"Zcchc7",6.37743372924826e-38,0.250176993482434,0.468,0.289,1.07619194181064e-33,"EE-K H","Zcchc7"
"Acin1",1.47588596740763e-37,0.288908226030574,0.574,0.411,2.49055757000038e-33,"EE-K H","Acin1"
"Ppp1r10",6.28200309858118e-37,0.267845787206553,0.465,0.291,1.06008802288557e-32,"EE-K H","Ppp1r10"
"Gsto12",4.17908443606943e-36,0.319778912459561,0.516,0.332,7.05220498586716e-32,"EE-K H","Gsto1"
"Zfp644",4.10389397082323e-35,0.289728394777422,0.419,0.26,6.9253210757642e-31,"EE-K H","Zfp644"
"Atp8b1",4.83129573098198e-34,0.268007278970112,0.512,0.355,8.1528115460321e-30,"EE-K H","Atp8b1"
"Prrc2c",1.75648904730769e-33,0.290269945584745,0.7,0.642,2.96407526733173e-29,"EE-K H","Prrc2c"
"Ankrd12",7.92044308150075e-30,0.264154444835405,0.537,0.388,1.33657477000325e-25,"EE-K H","Ankrd12"
"Zfp2921",7.37966922912663e-29,0.251255390370392,0.476,0.332,1.24531918241512e-24,"EE-K H","Zfp292"
"Aplp12",1.34323325925079e-28,0.266212907781771,0.588,0.437,2.2667061249857e-24,"EE-K H","Aplp1"
"Junb2",1.89718051833947e-24,0.25675084704836,0.798,0.799,3.20149212469786e-20,"EE-K H","Junb"
"Acta12",4.60712032914306e-12,0.252034415022827,0.264,0.182,7.77451555542891e-08,"EE-K H","Acta1"
"Errfi12",1.76385313971965e-07,0.283176854619577,0.555,0.552,0.00297650217327691,"EE-K H","Errfi1"
"Cdkn1c1",3.34532960400745e-05,0.363227925776368,0.384,0.334,0.564524370676256,"EE-K H","Cdkn1c"
"Cnr11",3.37198782592572e-221,0.745753022037273,0.687,0.132,5.69022945624965e-217,"EE-K IR","Cnr1"
"Gip1",5.00175470892925e-213,1.93600856925057,1,0.984,8.4404610713181e-209,"EE-K IR","Gip"
"Sphkap1",1.86188028830239e-195,0.715749023732729,0.769,0.185,3.14192298651028e-191,"EE-K IR","Sphkap"
"Rfx61",1.77152751118895e-192,0.72162939997333,0.758,0.192,2.98945267513135e-188,"EE-K IR","Rfx6"
"Pdk41",3.22532633781484e-186,0.570017819031721,0.499,0.08,5.44273819506254e-182,"EE-K IR","Pdk4"
"Fabp51",9.79455886798646e-185,1.91223833366739,0.966,0.549,1.65283180897271e-180,"EE-K IR","Fabp5"
"Plcxd31",5.61472019760178e-163,0.511830406242757,0.501,0.091,9.47484033345301e-159,"EE-K IR","Plcxd3"
"Car81",1.46677263295845e-159,0.745069097544871,0.565,0.124,2.47517881811738e-155,"EE-K IR","Car8"
"Cd441",1.28330563573962e-147,0.642524943980262,0.683,0.189,2.1655782603106e-143,"EE-K IR","Cd44"
"Rbp2",1.46274660156089e-146,1.04450946809368,0.767,0.298,2.468384890134e-142,"EE-K IR","Rbp2"
"Gatm1",2.30695035180084e-131,0.42480289652894,0.437,0.083,3.89297871866392e-127,"EE-K IR","Gatm"
"Pax61",8.06989239047317e-131,0.665327515880629,0.777,0.29,1.36179434089235e-126,"EE-K IR","Pax6"
"Pkib1",8.74580791313437e-126,0.497840388711163,0.518,0.124,1.47585508534143e-121,"EE-K IR","Pkib"
"Rgs43",5.95379382054506e-122,0.565694009610546,0.591,0.155,1.00470270721698e-117,"EE-K IR","Rgs4"
"Abcc83",1.43153621339085e-118,0.570400334912565,0.7,0.231,2.41571736009705e-114,"EE-K IR","Abcc8"
"Alpl",1.72231792324655e-115,0.25261449691895,0.227,0.024,2.90641149547855e-111,"EE-K IR","Alpl"
"Scgn3",2.64388901857577e-111,0.599179333927388,0.642,0.211,4.46156271884661e-107,"EE-K IR","Scgn"
"Nefl",8.61788980886507e-107,0.390163765477241,0.396,0.084,1.45426890524598e-102,"EE-K IR","Nefl"
"Pclo1",1.18164592338555e-105,0.687136473048614,0.777,0.321,1.99402749571311e-101,"EE-K IR","Pclo"
"Mlxipl1",1.86511262601308e-101,0.596697120347578,0.707,0.266,3.14737755639708e-97,"EE-K IR","Mlxipl"
"Slfn81",1.70172655988553e-99,0.337600141266567,0.366,0.074,2.87166356980684e-95,"EE-K IR","Slfn8"
"Prps1",2.90593843320817e-96,0.338861874834721,0.328,0.064,4.90377110603879e-92,"EE-K IR","Prps1"
"Isl14",5.77279599185813e-92,0.520075376227218,0.807,0.319,9.74159323626059e-88,"EE-K IR","Isl1"
"Hjurp1",9.46597461794373e-92,0.570103541361657,0.679,0.265,1.597383216778e-87,"EE-K IR","Hjurp"
"Mctp21",4.76776674674222e-87,0.394553810732958,0.546,0.172,8.0456063851275e-83,"EE-K IR","Mctp2"
"Nqo1",7.90088895516547e-87,0.2577932249837,0.259,0.043,1.33327501118417e-82,"EE-K IR","Nqo1"
"Mum1l11",2.84328788694016e-86,0.393146398340305,0.458,0.129,4.79804830921151e-82,"EE-K IR","Mum1l1"
"Arhgdig",7.40157998312218e-86,0.292372989058034,0.3,0.058,1.24901662215187e-81,"EE-K IR","Arhgdig"
"Scarb11",1.4552271640175e-83,0.436640677063077,0.546,0.185,2.45569583927953e-79,"EE-K IR","Scarb1"
"Dnah91",2.23537635884818e-83,0.279635663057509,0.334,0.073,3.77219760555631e-79,"EE-K IR","Dnah9"
"mt-Co12",3.44561508505773e-83,0.591120148063436,1,0.998,5.81447545603492e-79,"EE-K IR","mt-Co1"
"Itga41",8.24599161110814e-82,0.336000749989793,0.379,0.093,1.3915110843745e-77,"EE-K IR","Itga4"
"Cpe3",4.17385810721954e-80,0.576345750911946,0.981,0.762,7.04338555593298e-76,"EE-K IR","Cpe"
"Ptprn21",9.39044283721573e-78,0.432405392444084,0.619,0.245,1.58463722878015e-73,"EE-K IR","Ptprn2"
"Slc5a11",2.9439832232601e-77,0.364815913478468,0.49,0.158,4.96797168925141e-73,"EE-K IR","Slc5a1"
"AC149090.12",3.18617520487611e-77,0.6061296706767,0.985,0.835,5.37667065822844e-73,"EE-K IR","AC149090.1"
"Bmp11",6.36539081147558e-76,0.387834380445455,0.448,0.14,1.0741596994365e-71,"EE-K IR","Bmp1"
"Pdzd31",8.98736406547834e-75,0.275890892704068,0.345,0.084,1.51661768604947e-70,"EE-K IR","Pdzd3"
"Sfrp5",1.18335214252349e-74,0.26304252564033,0.325,0.076,1.99690674050839e-70,"EE-K IR","Sfrp5"
"Rgs111",4.205605321049e-70,0.259811511637384,0.3,0.069,7.09695897927019e-66,"EE-K IR","Rgs11"
"Prkg2",5.57531033426289e-70,0.260010871653232,0.317,0.076,9.40833618906863e-66,"EE-K IR","Prkg2"
"Dbpht2",9.80495637514968e-70,0.281027945142142,0.274,0.059,1.65458638830651e-65,"EE-K IR","Dbpht2"
"Kcnj31",1.12585469760132e-69,0.322937329386739,0.388,0.111,1.89987980220222e-65,"EE-K IR","Kcnj3"
"Map1b3",2.21650631178702e-68,0.484380733477765,0.771,0.399,3.7403544011406e-64,"EE-K IR","Map1b"
"Hk23",9.24149338981956e-67,0.418935712366464,0.604,0.253,1.55950200953205e-62,"EE-K IR","Hk2"
"Nefm2",1.30409849842038e-65,0.361883124231678,0.428,0.135,2.2006662160844e-61,"EE-K IR","Nefm"
"Vwa5b21",1.74657019554738e-62,0.410427371205199,0.625,0.276,2.94733720498621e-58,"EE-K IR","Vwa5b2"
"Cplx21",2.14754821790734e-62,0.421399303207438,0.589,0.261,3.62398761771863e-58,"EE-K IR","Cplx2"
"Tmprss71",4.60124158299219e-62,0.260892391947436,0.323,0.086,7.76459517129931e-58,"EE-K IR","Tmprss7"
"Itpr11",3.98791295577267e-61,0.364572519270545,0.514,0.195,6.72960311286639e-57,"EE-K IR","Itpr1"
"Fxyd62",5.86559820993525e-60,0.308806153122046,0.381,0.117,9.89819697926574e-56,"EE-K IR","Fxyd6"
"Ank",3.17275124802167e-57,0.294208904662637,0.4,0.135,5.35401773103657e-53,"EE-K IR","Ank"
"Phlda13",1.64705366522163e-54,0.431258280584918,0.677,0.336,2.77940306006151e-50,"EE-K IR","Phlda1"
"Fam167a",5.47117384225569e-52,0.267968658905996,0.321,0.098,9.23260585880647e-48,"EE-K IR","Fam167a"
"Kcnc31",2.24486923674732e-51,0.266356124771247,0.332,0.105,3.7882168370111e-47,"EE-K IR","Kcnc3"
"Fam213a1",3.96844395843976e-50,0.328018488046351,0.428,0.167,6.69674917986709e-46,"EE-K IR","Fam213a"
"Arhgef26",9.13819022883645e-50,0.286372374028576,0.3,0.091,1.54206960111615e-45,"EE-K IR","Arhgef26"
"Pex5l1",2.13981477881004e-49,0.27176279450565,0.377,0.13,3.61093743924194e-45,"EE-K IR","Pex5l"
"Rasd13",4.74488280258388e-49,0.465466288945928,0.687,0.37,8.0069897293603e-45,"EE-K IR","Rasd1"
"Sorbs21",1.14954260163162e-48,0.310562879378096,0.452,0.181,1.93985314025336e-44,"EE-K IR","Sorbs2"
"Uaca1",3.40831235888181e-48,0.373801058301558,0.578,0.278,5.75152710561306e-44,"EE-K IR","Uaca"
"Pycr2",1.1212444704691e-45,0.36165821546594,0.537,0.265,1.8921000439166e-41,"EE-K IR","Pycr2"
"Gsto13",2.8137630058646e-44,0.479054336805884,0.612,0.34,4.74822507239652e-40,"EE-K IR","Gsto1"
"Hmgn31",7.10200087815918e-43,0.422253059740063,0.563,0.306,1.19846264818936e-38,"EE-K IR","Hmgn3"
"Xist2",2.06844484534217e-42,0.463388933497771,0.994,0.959,3.49050067651492e-38,"EE-K IR","Xist"
"Slc6a193",4.01517593649844e-42,0.366782367278472,0.6,0.31,6.77560939284111e-38,"EE-K IR","Slc6a19"
"Chd71",1.42684552604927e-41,0.348245619961307,0.559,0.286,2.40780182520814e-37,"EE-K IR","Chd7"
"Entpd51",5.78954504560375e-41,0.261625127975827,0.411,0.17,9.76985726445633e-37,"EE-K IR","Entpd5"
"Dnpep",9.1082186305556e-41,0.321138674986725,0.486,0.23,1.53701189390626e-36,"EE-K IR","Dnpep"
"Cacna1a2",3.01422982307379e-40,0.35488704491758,0.929,0.697,5.08651282643702e-36,"EE-K IR","Cacna1a"
"Btg22",1.80891361675345e-38,0.42975861107335,0.974,0.89,3.05254172827144e-34,"EE-K IR","Btg2"
"Gnao11",4.81415699937068e-38,0.293253093534013,0.58,0.305,8.12388993643801e-34,"EE-K IR","Gnao1"
"Nr4a23",8.98638652701509e-38,0.282912417131762,0.546,0.26,1.5164527264338e-33,"EE-K IR","Nr4a2"
"Bend71",1.40682400022478e-37,0.279238471877388,0.418,0.183,2.37401550037932e-33,"EE-K IR","Bend7"
"Rev3l1",1.53562603474726e-37,0.330159324724173,0.52,0.259,2.591368933636e-33,"EE-K IR","Rev3l"
"Anxa6",1.89399049862155e-37,0.315566545303241,0.463,0.225,3.19610896642387e-33,"EE-K IR","Anxa6"
"Rbp44",2.06181271399883e-37,0.456073166633091,0.741,0.49,3.47930895487303e-33,"EE-K IR","Rbp4"
"Rcn11",7.05885422195655e-37,0.345192238120915,0.465,0.224,1.19118164995517e-32,"EE-K IR","Rcn1"
"Ddc2",8.17828916041684e-37,0.37976301726798,0.769,0.58,1.38008629582034e-32,"EE-K IR","Ddc"
"Klf10",1.05291249748958e-36,0.280494691491222,0.377,0.159,1.77678983951367e-32,"EE-K IR","Klf10"
"Trim351",1.75995025060368e-36,0.268645034202182,0.445,0.205,2.96991604789372e-32,"EE-K IR","Trim35"
"Kdm1a1",2.47692046705421e-36,0.27843631560274,0.55,0.288,4.17980328815398e-32,"EE-K IR","Kdm1a"
"Pam4",2.71637304670454e-36,0.350505587095826,0.683,0.412,4.58387951631391e-32,"EE-K IR","Pam"
"Gm472831",3.0356816023836e-36,0.345259639905443,0.542,0.286,5.12271270402232e-32,"EE-K IR","Gm47283"
"Tbc1d11",7.96895652846573e-35,0.264464536836446,0.411,0.185,1.34476141417859e-30,"EE-K IR","Tbc1d1"
"Abcb10",2.3451193221653e-34,0.253130579638268,0.368,0.157,3.95738885615395e-30,"EE-K IR","Abcb10"
"Gpd23",2.63159010568926e-34,0.325134525960655,0.467,0.228,4.44080830335063e-30,"EE-K IR","Gpd2"
"Stra6l",4.635248524701e-34,0.278174860230081,0.428,0.2,7.82198188543294e-30,"EE-K IR","Stra6l"
"Rhou1",1.92176395455667e-33,0.288265552022973,0.507,0.263,3.24297667331437e-29,"EE-K IR","Rhou"
"Itm2c2",2.8549247384535e-32,0.328396481706119,0.728,0.522,4.81768549614027e-28,"EE-K IR","Itm2c"
"Pdgfa",6.216010866806e-32,0.26115213878168,0.392,0.179,1.04895183377351e-27,"EE-K IR","Pdgfa"
"Upp12",1.17237108916964e-31,0.324050577016784,0.615,0.353,1.97837621297377e-27,"EE-K IR","Upp1"
"Dpp42",4.26281988958936e-30,0.255413842210331,0.445,0.221,7.19350856368205e-26,"EE-K IR","Dpp4"
