"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pex16",5.32659812210802e-55,0.530327428595831,0.5,0.086,8.26155368738954e-51,"Ent","Pex16"
"Psmb3",5.74648438821667e-55,0.979312962470689,0.805,0.259,8.91279728612405e-51,"Ent","Psmb3"
"Idh1",6.11020992005018e-55,0.791134982133039,0.523,0.1,9.47693558599784e-51,"Ent","Idh1"
"Dhrs3",6.30731873703194e-55,0.278499629319612,0.227,0.017,9.78265136113655e-51,"Ent","Dhrs3"
"Spr",7.20581216620484e-55,0.704411453109829,0.641,0.145,1.11762146697837e-50,"Ent","Spr"
"Atp5g31",1.11365606027371e-54,1.24585311621065,0.969,0.635,1.72728054948453e-50,"Ent","Atp5g3"
"Gna11",1.40990241919972e-54,1.68296536644364,0.773,0.292,2.18675865217877e-50,"Ent","Gna11"
"Plin2",1.4465026049812e-54,0.627127365233786,0.57,0.113,2.24352554032583e-50,"Ent","Plin2"
"Ccs",1.69354022178116e-54,0.574102161450001,0.523,0.096,2.62668088398257e-50,"Ent","Ccs"
"Aifm1",1.74425506818579e-54,0.534249514496744,0.461,0.074,2.70533961075616e-50,"Ent","Aifm1"
"Slc25a11",2.33823376850949e-54,0.776701856037888,0.648,0.157,3.62660057495822e-50,"Ent","Slc25a11"
"Bak1",2.37472115417758e-54,0.561543635174848,0.578,0.113,3.68319251012942e-50,"Ent","Bak1"
"Mettl7b",3.42355030368723e-54,0.252042291921809,0.172,0.009,5.30992652101889e-50,"Ent","Mettl7b"
"Irf8",6.6155155565738e-54,0.63843133902899,0.547,0.105,1.0260664628246e-49,"Ent","Irf8"
"Atp5d1",1.05139654683976e-53,1.24564250558311,0.969,0.725,1.63071604414847e-49,"Ent","Atp5d"
"Btf3",1.06344412239109e-53,1.17889296370506,0.938,0.433,1.64940183382858e-49,"Ent","Btf3"
"Uqcrq1",1.1169767464932e-53,1.19457791385821,0.992,0.74,1.73243093381096e-49,"Ent","Uqcrq"
"Cox7a2l",1.27137671817933e-53,1.02806952479296,0.898,0.359,1.97190528989615e-49,"Ent","Cox7a2l"
"Ndufb81",1.37586123990622e-53,1.17076910531366,0.938,0.495,2.13396078309454e-49,"Ent","Ndufb8"
"Lpcat3",1.41774063453646e-53,0.900345110604521,0.648,0.168,2.19891572416604e-49,"Ent","Lpcat3"
"Psmb81",1.48037711063216e-53,1.15697048964837,0.781,0.254,2.29606489859048e-49,"Ent","Psmb8"
"Abcg5",1.72347995178589e-53,0.288205202143209,0.25,0.021,2.67311740521991e-49,"Ent","Abcg5"
"Mrpl151",2.13772890721845e-53,0.753427346832156,0.727,0.192,3.31561753509582e-49,"Ent","Mrpl15"
"Rmdn3",2.34357403482748e-53,0.501956387911135,0.406,0.059,3.63488332801743e-49,"Ent","Rmdn3"
"Timm10",2.59732393548368e-53,0.479792764256897,0.453,0.072,4.02844942393519e-49,"Ent","Timm10"
"Eif1ad",4.68510505906737e-53,0.478518298590192,0.461,0.075,7.26659794661348e-49,"Ent","Eif1ad"
"Prdx4",5.28367693607485e-53,0.511898140510676,0.414,0.06,8.19498292785209e-49,"Ent","Prdx4"
"4931406C07Rik",6.08427594366519e-53,0.618005473604752,0.461,0.078,9.43671198862471e-49,"Ent","4931406C07Rik"
"Acadm",6.60137434364947e-53,0.657842696446604,0.555,0.113,1.02387316070003e-48,"Ent","Acadm"
"Golm1",7.31978391097916e-53,0.465059605145557,0.375,0.05,1.13529848459287e-48,"Ent","Golm1"
"Fgfbp1",7.83541382775968e-53,0.417469409995311,0.305,0.032,1.21527268468553e-48,"Ent","Fgfbp1"
"Psma5",8.14943892222631e-53,0.829937565708284,0.742,0.208,1.2639779768373e-48,"Ent","Psma5"
"Ppa2",9.7529337534497e-53,0.53841975621609,0.531,0.1,1.51268002516005e-48,"Ent","Ppa2"
"Gcsh",1.95876755258518e-52,0.426818557197792,0.391,0.054,3.03804847405961e-48,"Ent","Gcsh"
"Ndufc11",2.00419248907415e-52,1.20845347732404,0.891,0.401,3.10850255055401e-48,"Ent","Ndufc1"
"Pgk11",2.40023133641571e-52,0.991992072287394,0.805,0.268,3.72275880278077e-48,"Ent","Pgk1"
"Ndufs51",2.43558733025817e-52,1.0083296672297,0.891,0.37,3.77759594923043e-48,"Ent","Ndufs5"
"Psma2",3.26004029165016e-52,0.865669319794723,0.828,0.27,5.0563224923494e-48,"Ent","Psma2"
"Sec23a",3.50583362223823e-52,0.512025897722778,0.375,0.052,5.43754794809149e-48,"Ent","Sec23a"
"Abcg8",6.76018600329765e-52,0.341254041551269,0.273,0.027,1.04850484911147e-47,"Ent","Abcg8"
"Gsr",6.90873767090938e-52,0.622946649016414,0.578,0.122,1.07154521275804e-47,"Ent","Gsr"
"Naca",7.70161246799976e-52,1.16861089543911,0.969,0.574,1.19452009378676e-47,"Ent","Naca"
"Nipsnap3b",1.4566592297182e-51,0.524890224757903,0.508,0.093,2.25927846529293e-47,"Ent","Nipsnap3b"
"Sucla2",3.56952342304808e-51,0.65387966478785,0.562,0.118,5.53633082914757e-47,"Ent","Sucla2"
"Cyp2c55",4.73923424684259e-51,0.286309931068922,0.164,0.009,7.35055231685286e-47,"Ent","Cyp2c55"
"Eif5a1",5.99984796333097e-51,1.19632651758287,0.906,0.425,9.30576419112633e-47,"Ent","Eif5a"
"Higd2a",6.1992777145307e-51,0.773450748803304,0.719,0.203,9.61507973523711e-47,"Ent","Higd2a"
"Fam136a",6.69696549827189e-51,0.471082861842175,0.469,0.079,1.03869934878197e-46,"Ent","Fam136a"
"Tcn2",7.66421689732817e-51,0.696098170955863,0.57,0.125,1.1887200407756e-46,"Ent","Tcn2"
"Lad1",8.09980505800206e-51,0.495367151626378,0.461,0.078,1.25627976449612e-46,"Ent","Lad1"
"Bri3bp",1.02785408106424e-50,0.471979505729026,0.445,0.073,1.59420167973064e-46,"Ent","Bri3bp"
"Taldo1",1.08588233913802e-50,1.06429048561779,0.906,0.441,1.68420350800307e-46,"Ent","Taldo1"
"Reg3b",1.13435477200955e-50,4.09507075937831,0.438,0.079,1.75938425138681e-46,"Ent","Reg3b"
