"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnf2171",1.61082169658868e-50,0.253698486763854,0.255,0.079,2.49838445140904e-46,"EE-K","Rnf217"
"Ank31",1.90967997161094e-50,0.335464180366534,0.354,0.144,2.96191363596856e-46,"EE-K","Ank3"
"Fryl",2.23376615252825e-50,0.392553442378279,0.533,0.281,3.46457130257131e-46,"EE-K","Fryl"
"Pick11",6.03890970799333e-50,0.294552903941759,0.335,0.131,9.36634895709766e-46,"EE-K","Pick1"
"Fam167a",6.80431991046754e-50,0.291982576327678,0.244,0.075,1.05535001811352e-45,"EE-K","Fam167a"
"Cbx61",9.99607365246649e-50,0.288679502343097,0.295,0.105,1.55039102349755e-45,"EE-K","Cbx6"
"Ascc3",2.31229580375956e-49,0.398132553208337,0.477,0.242,3.58637079163108e-45,"EE-K","Ascc3"
"Etnk11",5.22576830543416e-49,0.367108352585119,0.617,0.343,8.10516664172838e-45,"EE-K","Etnk1"
"Zfp644",9.12010580103072e-49,0.435363690223192,0.417,0.201,1.41452840973987e-44,"EE-K","Zfp644"
"Pbx12",9.41085104558411e-48,0.331686217920126,0.44,0.208,1.4596229971701e-43,"EE-K","Pbx1"
"Rogdi",1.04932896635187e-47,0.32448990300745,0.315,0.124,1.62750922681175e-43,"EE-K","Rogdi"
"Phip",1.30003814075844e-47,0.443337966618584,0.533,0.306,2.01635915631635e-43,"EE-K","Phip"
"Rbm39",1.98737015511242e-47,0.437924893228639,0.846,0.79,3.08241111057936e-43,"EE-K","Rbm39"
"Hspa4l",2.30087024580996e-47,0.417367661735099,0.489,0.267,3.56864975125125e-43,"EE-K","Hspa4l"
"Clcn5",1.62741518922659e-46,0.276249778202964,0.264,0.09,2.52412095849045e-42,"EE-K","Clcn5"
"Ocrl1",1.90285023089696e-46,0.251300455552138,0.255,0.084,2.95132070812119e-42,"EE-K","Ocrl"
"Plekha5",4.81892429117028e-45,0.30301023057524,0.322,0.131,7.4741515756051e-41,"EE-K","Plekha5"
"Asxl2",6.28456870873603e-45,0.315530169806174,0.357,0.155,9.74736606724958e-41,"EE-K","Asxl2"
"Rap1gap1",9.00490980600736e-45,0.257741300327731,0.246,0.081,1.39666151091174e-40,"EE-K","Rap1gap"
"Ormdl3",3.23984541820599e-44,0.293036326377271,0.291,0.112,5.02500024363749e-40,"EE-K","Ormdl3"
"Dlg1",3.39068380222839e-44,0.265320388305636,0.289,0.109,5.25895057725623e-40,"EE-K","Dlg1"
"Trim24",3.62764315690586e-44,0.390354191874933,0.51,0.28,5.62647453636099e-40,"EE-K","Trim24"
"Arglu1",5.45340640361715e-44,0.443353052296049,0.673,0.465,8.45823333201019e-40,"EE-K","Arglu1"
"Auts21",1.08360408943693e-43,0.337822378290958,0.429,0.203,1.68066994271668e-39,"EE-K","Auts2"
"Plcb41",1.29875301299378e-43,0.261725830927083,0.31,0.121,2.01436592315335e-39,"EE-K","Plcb4"
"Pnn",2.48930349358053e-43,0.45710401134431,0.619,0.401,3.86090971854341e-39,"EE-K","Pnn"
"Nf1",3.20419223695524e-43,0.275070263310065,0.287,0.11,4.96970215951757e-39,"EE-K","Nf1"
"Jmjd1c",4.03109476007575e-43,0.328861034558124,0.382,0.178,6.25222797287749e-39,"EE-K","Jmjd1c"
"Pik3r1",4.78836784958091e-43,0.356532466566238,0.395,0.192,7.42675853469999e-39,"EE-K","Pik3r1"
"Nav1",1.31785556297969e-42,0.310187319883728,0.323,0.136,2.04399397818149e-38,"EE-K","Nav1"
"Rap1gap2",1.36260726337122e-42,0.291540821887143,0.318,0.133,2.11340386548876e-38,"EE-K","Rap1gap2"
"D10Wsu102e",1.7444828161053e-42,0.390700340738556,0.393,0.186,2.70569284777932e-38,"EE-K","D10Wsu102e"
"Rims2",1.9317343701794e-42,0.314339708903845,0.348,0.154,2.99612000814824e-38,"EE-K","Rims2"
"Baz2b",3.1323440956711e-42,0.404081695561737,0.544,0.322,4.85826569238587e-38,"EE-K","Baz2b"
"Dnmt3a",7.20945118686416e-42,0.317288993566717,0.389,0.185,1.11818587908263e-37,"EE-K","Dnmt3a"
"Trim44",1.43680694385691e-41,0.310397120660785,0.36,0.163,2.22848756992206e-37,"EE-K","Trim44"
"Irf2bp2",1.77052355472954e-41,0.392876761316335,0.468,0.258,2.74608203338552e-37,"EE-K","Irf2bp2"
"Rev1",3.96000129667503e-41,0.257025512948371,0.221,0.072,6.14196201114296e-37,"EE-K","Rev1"
"Phf3",7.9635857126503e-41,0.349245512594304,0.471,0.255,1.23515214403206e-36,"EE-K","Phf3"
"Gars1",8.03272333648153e-41,0.305454715321525,0.337,0.151,1.24587538948829e-36,"EE-K","Gars"
"Fgd4",1.41359597705257e-40,0.256699270909713,0.25,0.09,2.19248736040853e-36,"EE-K","Fgd4"
"Fam122a",2.4179981793567e-40,0.296903552061558,0.291,0.119,3.75031517618223e-36,"EE-K","Fam122a"
"Rph3al1",5.59617759032839e-40,0.258241104851074,0.284,0.113,8.67967144259933e-36,"EE-K","Rph3al"
"Ahcyl12",8.64288037198906e-40,0.350509309915774,0.545,0.314,1.3405107456955e-35,"EE-K","Ahcyl1"
"Egr13",1.09685063913689e-39,0.389708936606978,0.818,0.636,1.70121534130132e-35,"EE-K","Egr1"
"Sult1d12",3.87859967335774e-39,0.28313981185818,0.397,0.187,6.01570809337785e-35,"EE-K","Sult1d1"
"Arid4b1",4.46544124821757e-39,0.33862086622574,0.476,0.263,6.92589937598545e-35,"EE-K","Arid4b"
"Trib11",4.79195812633526e-39,0.293423956669572,0.454,0.228,7.43232705394598e-35,"EE-K","Trib1"
"Bod1l",1.10561724213896e-38,0.35011896086788,0.465,0.259,1.71481234255752e-34,"EE-K","Bod1l"
"Kif21a1",1.96498025375829e-38,0.28531608950333,0.397,0.193,3.04768437357911e-34,"EE-K","Kif21a"
"Nbeal1",6.78099161301323e-38,0.305370303585952,0.377,0.185,1.05173179917835e-33,"EE-K","Nbeal1"
"Fos3",8.90913778600328e-38,0.451877904231209,0.86,0.721,1.38180727060911e-33,"EE-K","Fos"
"Bex32",2.25151486396805e-37,0.506711560478364,0.471,0.261,3.49209955401444e-33,"EE-K","Bex3"
"Maged12",2.61130396630418e-37,0.270057822899265,0.362,0.171,4.05013245173779e-33,"EE-K","Maged1"
"Zmynd8",2.88249953758541e-37,0.348287851352281,0.459,0.259,4.47075678279497e-33,"EE-K","Zmynd8"
"Atp2b12",7.59729992879699e-37,0.361823749456851,0.633,0.424,1.17834121895641e-32,"EE-K","Atp2b1"
"Akap8l",4.27880012746613e-36,0.316581963392856,0.363,0.179,6.63641899769997e-32,"EE-K","Akap8l"
"Usp34",5.08681183162268e-36,0.361110965004715,0.517,0.317,7.88964515084678e-32,"EE-K","Usp34"
"Rasa41",1.38334384231249e-35,0.252673763167672,0.304,0.132,2.14556629942667e-31,"EE-K","Rasa4"
"Zfp329",6.21969407618803e-35,0.266371899482267,0.319,0.147,9.64674551216764e-31,"EE-K","Zfp329"
"Insm13",8.75736765762721e-35,0.369633179957528,0.417,0.219,1.35826772369798e-30,"EE-K","Insm1"
"Atp8b1",9.27353894350835e-35,0.363624937366224,0.514,0.319,1.43832589013815e-30,"EE-K","Atp8b1"
"Cnot6l2",2.38839005258548e-34,0.297057697126262,0.455,0.253,3.70439297156007e-30,"EE-K","Cnot6l"
"Stxbp51",3.61375205078657e-34,0.27807759153091,0.378,0.191,5.60492943076997e-30,"EE-K","Stxbp5"
"Tceal93",3.69587397622285e-34,0.345438997894048,0.55,0.329,5.73230053712164e-30,"EE-K","Tceal9"
"Scaf11",4.10516233202572e-34,0.335781010215064,0.457,0.265,6.36710677697189e-30,"EE-K","Scaf11"
"Rb1cc1",6.46805693475029e-34,0.313318095798709,0.439,0.247,1.00319563057977e-29,"EE-K","Rb1cc1"
"Lars2",1.35555030944028e-33,0.436721735691765,0.913,0.861,2.10245852994188e-29,"EE-K","Lars2"
"Fam183b2",1.36792678635667e-33,0.328609734747274,0.414,0.22,2.12165444563919e-29,"EE-K","Fam183b"
"Junb2",1.98411970696834e-33,0.463428280812201,0.751,0.679,3.0773696655079e-29,"EE-K","Junb"
"Brd1",2.00909741344293e-33,0.362944530990091,0.496,0.305,3.11611008824999e-29,"EE-K","Brd1"
"Mast21",3.20832947266351e-33,0.292794256652858,0.377,0.197,4.97611901210111e-29,"EE-K","Mast2"
"Brwd1",1.3661751265093e-32,0.28709524519138,0.287,0.13,2.11893762121593e-28,"EE-K","Brwd1"
"Golgb1",2.39820735538663e-32,0.431818910081578,0.587,0.414,3.71961960820466e-28,"EE-K","Golgb1"
"Cth",3.63569266718451e-32,0.254805272426797,0.202,0.073,5.63895932680318e-28,"EE-K","Cth"
"Plpbp",9.02637767825358e-32,0.25451088940712,0.313,0.149,1.39999117789713e-27,"EE-K","Plpbp"
"Cdk8",1.82664623107931e-31,0.279166278869522,0.356,0.183,2.833128304404e-27,"EE-K","Cdk8"
"Chd9",1.98154363764892e-31,0.26201903183062,0.347,0.176,3.07337418199348e-27,"EE-K","Chd9"
"Bicd1",3.02459164642172e-31,0.313941932855029,0.391,0.214,4.69114164360009e-27,"EE-K","Bicd1"
"Smg1",4.77454263526118e-31,0.285108652575046,0.418,0.232,7.40531562729009e-27,"EE-K","Smg1"
"Leng8",1.46150121825486e-30,0.251874957007155,0.307,0.147,2.26678838951329e-26,"EE-K","Leng8"
"4833420G17Rik",1.53948071257514e-30,0.265710078256053,0.347,0.177,2.38773458520404e-26,"EE-K","4833420G17Rik"
"Paxbp1",2.25383954745276e-30,0.283048661641643,0.417,0.231,3.49570513809923e-26,"EE-K","Paxbp1"
"Mycbp2",4.53038449765305e-30,0.273788734115439,0.406,0.225,7.02662635585988e-26,"EE-K","Mycbp2"
"Ier22",5.2166222533146e-30,0.372375866462672,0.784,0.681,8.09098111489094e-26,"EE-K","Ier2"
"Azin1",5.3255180617391e-30,0.275211497894523,0.387,0.212,8.25987851375734e-26,"EE-K","Azin1"
"Ankrd17",7.78216182985116e-30,0.304396934579577,0.431,0.252,1.20701329980992e-25,"EE-K","Ankrd17"
"Hsp90aa13",1.37362429972524e-29,0.291637149971879,0.939,0.91,2.13049128887385e-25,"EE-K","Hsp90aa1"
"BC0055612",1.94479648937977e-29,0.289357211658947,0.412,0.232,3.01637935502802e-25,"EE-K","BC005561"
"Ccnl2",3.11301152258784e-29,0.309944317025384,0.458,0.277,4.82828087153375e-25,"EE-K","Ccnl2"
"Pcm1",4.10200350660228e-29,0.282834256047262,0.394,0.221,6.36220743874014e-25,"EE-K","Pcm1"
"Ankrd12",6.19982872636567e-29,0.349674663519837,0.528,0.35,9.61593435459315e-25,"EE-K","Ankrd12"
"Ubl32",7.43777216027068e-29,0.294290883403708,0.484,0.297,1.15359846205798e-24,"EE-K","Ubl3"
"Rrbp11",9.54940950467009e-29,0.311962737247303,0.86,0.833,1.48111341417433e-24,"EE-K","Rrbp1"
"Ppp1r10",1.03403620582145e-28,0.311084690757435,0.467,0.285,1.60379015522907e-24,"EE-K","Ppp1r10"
"Tnrc6b1",1.22546748969239e-28,0.283090140198254,0.418,0.243,1.9007000765129e-24,"EE-K","Tnrc6b"
"Dhx36",1.97004879683244e-28,0.287315634948231,0.428,0.253,3.05554568388711e-24,"EE-K","Dhx36"
"Kansl1",2.92366072172431e-28,0.26670421368674,0.324,0.169,4.53459777939441e-24,"EE-K","Kansl1"
"Bptf",4.85936671247837e-28,0.298002080006573,0.447,0.272,7.53687777105395e-24,"EE-K","Bptf"
"Bclaf12",6.04829322513595e-28,0.30929427531533,0.553,0.365,9.38090279218586e-24,"EE-K","Bclaf1"
"Acin1",1.48630682046006e-27,0.347635418753183,0.555,0.384,2.30526187853356e-23,"EE-K","Acin1"
"Hnrnpl",2.32328581692515e-27,0.290829743755499,0.423,0.255,3.60341630205091e-23,"EE-K","Hnrnpl"
"Camk2b",4.74142164305134e-27,0.278173128985608,0.447,0.269,7.35394496837263e-23,"EE-K","Camk2b"
"Nipbl",1.03965184420337e-26,0.309438625644583,0.467,0.297,1.61250001035943e-22,"EE-K","Nipbl"
"Hnrnpu",8.6495115892975e-26,0.342885004215156,0.613,0.451,1.34153924750004e-21,"EE-K","Hnrnpu"
"Prnp2",9.27893680873571e-26,0.266260081759129,0.457,0.273,1.43916309903491e-21,"EE-K","Prnp"
"Prrc2c",1.22341872295147e-25,0.367546332015338,0.676,0.559,1.89752243929774e-21,"EE-K","Prrc2c"
"Zcchc7",1.87438722510138e-25,0.275092074036558,0.457,0.287,2.90717458613224e-21,"EE-K","Zcchc7"
"Zfp292",3.7816117935526e-25,0.309556412871929,0.464,0.302,5.86527989180009e-21,"EE-K","Zfp292"
"Por",4.17107090167456e-25,0.252260639264729,0.361,0.206,6.46933096849724e-21,"EE-K","Por"
"Nisch2",9.39629078897727e-25,0.258733475794352,0.589,0.389,1.45736470137037e-20,"EE-K","Nisch"
"Ash1l",1.26504060518657e-24,0.27671419807644,0.493,0.325,1.96207797864437e-20,"EE-K","Ash1l"
"Fosb3",4.98145146103383e-24,0.348201123833915,0.751,0.65,7.72623121606347e-20,"EE-K","Fosb"
"Zcchc11",1.6053028205473e-23,0.253429689371991,0.317,0.175,2.48982467466887e-19,"EE-K","Zcchc11"
"Ppp1r15a2",2.26429783842666e-23,0.268587604627645,0.481,0.301,3.51192594739974e-19,"EE-K","Ppp1r15a"
"Ddx61",4.05497369817818e-23,0.28934449556093,0.467,0.31,6.28926420587435e-19,"EE-K","Ddx6"
"Wnk1",5.29227229091288e-23,0.269030979402212,0.452,0.289,8.20831432320588e-19,"EE-K","Wnk1"
"Kmt2e",9.37251867316683e-23,0.284440229302639,0.469,0.313,1.45367764620817e-18,"EE-K","Kmt2e"
"Acadl",9.64701346869923e-23,0.267608630307194,0.36,0.216,1.49625178899525e-18,"EE-K","Acadl"
"Fam83e",1.75257963092231e-22,0.293598733606638,0.487,0.331,2.7182510075605e-18,"EE-K","Fam83e"
"Gucy2c",3.41639123547824e-21,0.262354540178797,0.546,0.393,5.29882280622674e-17,"EE-K","Gucy2c"
"Cdkn1a3",3.74768773020678e-21,0.332073722901457,0.668,0.58,5.81266366955072e-17,"EE-K","Cdkn1a"
"Acta12",4.10110913616746e-21,0.433122970293957,0.261,0.138,6.36082027019574e-17,"EE-K","Acta1"
"Neat11",4.47953951144903e-21,0.297463382314868,0.805,0.799,6.94776578225745e-17,"EE-K","Neat1"
"Cd812",1.54719034187079e-20,0.546393121388887,0.505,0.36,2.3996922202416e-16,"EE-K","Cd81"
"Rnpep",2.45189388897312e-19,0.253114697129535,0.378,0.243,3.80288742179732e-15,"EE-K","Rnpep"
"Atf41",3.6172113974845e-18,0.290892751168482,0.575,0.439,5.61029487749846e-14,"EE-K","Atf4"
"Tcf25",6.11114558908178e-18,0.2902680460642,0.65,0.533,9.47838680866584e-14,"EE-K","Tcf25"
"Kmt2a",6.83510695866394e-17,0.269201731745936,0.516,0.376,1.06012508928878e-12,"EE-K","Kmt2a"
"Higd1a",2.58419668141553e-16,0.305747004808032,0.408,0.292,4.00808905287549e-12,"EE-K","Higd1a"
"Errfi11",2.66999764288255e-15,0.380408829117783,0.548,0.414,4.14116634411084e-11,"EE-K","Errfi1"
"Pyy3",9.69430802098339e-09,0.309672103140319,0.187,0.118,0.000150358717405452,"EE-K","Pyy"
"Cdkn1c1",3.50808568164452e-07,0.556729719159659,0.383,0.308,0.00544104089223065,"EE-K","Cdkn1c"
"Krt18",0,3.42629782732692,1,0.944,0,"Tuft","Krt18"
"Fabp1",0,3.28266495761309,0.995,0.758,0,"Tuft","Fabp1"
"Matk",0,2.95522778767888,0.997,0.273,0,"Tuft","Matk"
"Sh2d6",0,2.88765479386447,0.994,0.214,0,"Tuft","Sh2d6"
"Hck",0,2.86499064230024,0.986,0.177,0,"Tuft","Hck"
"Ptpn18",0,2.80875076576513,0.998,0.33,0,"Tuft","Ptpn18"
"Spink1",0,2.80245755232485,0.895,0.257,0,"Tuft","Spink1"
"Lrmp",0,2.75808362279665,0.991,0.134,0,"Tuft","Lrmp"
"Fyb",0,2.73898327334437,0.993,0.109,0,"Tuft","Fyb"
"Nrgn",0,2.71824291380463,0.947,0.097,0,"Tuft","Nrgn"
"Aldh2",0,2.55595398414979,0.988,0.264,0,"Tuft","Aldh2"
"Dclk1",0,2.43726857513486,0.972,0.1,0,"Tuft","Dclk1"
"Alox5ap",0,2.40527760146354,0.958,0.084,0,"Tuft","Alox5ap"
"Eppk1",0,2.38708053280057,0.982,0.15,0,"Tuft","Eppk1"
"Cdhr5",0,2.32382359996103,0.993,0.706,0,"Tuft","Cdhr5"
"Snrnp25",0,2.3078025431307,0.939,0.099,0,"Tuft","Snrnp25"
"Rac2",0,2.23050297120571,0.918,0.07,0,"Tuft","Rac2"
"H2-D1",0,2.21112866576759,0.978,0.763,0,"Tuft","H2-D1"
"Cst6",0,2.19864195053722,0.836,0.125,0,"Tuft","Cst6"
"Crip11",0,2.19816197961462,1,0.867,0,"Tuft","Crip1"
"Atp2a3",0,2.19443533315042,0.976,0.189,0,"Tuft","Atp2a3"
"Trpm5",0,2.18224312921935,0.97,0.085,0,"Tuft","Trpm5"
"Rgs13",0,2.18142625919235,0.917,0.077,0,"Tuft","Rgs13"
"H2afj",0,2.16953397645424,0.994,0.576,0,"Tuft","H2afj"
"Espn",0,2.1604063935195,0.965,0.223,0,"Tuft","Espn"
"Avil",0,2.12476455353385,0.951,0.078,0,"Tuft","Avil"
"Tmem176a",0,2.10487164811239,0.928,0.384,0,"Tuft","Tmem176a"
"Ptpn6",0,2.08624969479487,0.937,0.088,0,"Tuft","Ptpn6"
"Siglecf",0,2.07954449119733,0.903,0.069,0,"Tuft","Siglecf"
"Ltc4s",0,2.05014215177464,0.922,0.072,0,"Tuft","Ltc4s"
"Selenom",0,2.03915091674654,0.988,0.717,0,"Tuft","Selenom"
"Krt8",0,2.00711405589598,1,0.95,0,"Tuft","Krt8"
"Reep5",0,1.99240740851796,0.897,0.172,0,"Tuft","Reep5"
"Cd24a",0,1.9903047767781,0.999,0.802,0,"Tuft","Cd24a"
"S100a11",0,1.90307078874335,0.897,0.158,0,"Tuft","S100a11"
"Mgst3",0,1.90121392422265,0.941,0.579,0,"Tuft","Mgst3"
"Cd300lf",0,1.88199046483308,0.903,0.059,0,"Tuft","Cd300lf"
"AA467197",0,1.82975094685963,0.855,0.083,0,"Tuft","AA467197"
"Kctd12",0,1.74591378972965,0.966,0.567,0,"Tuft","Kctd12"
"Skap2",0,1.73547310827481,0.883,0.117,0,"Tuft","Skap2"
"Cdhr2",0,1.72333480904318,0.947,0.433,0,"Tuft","Cdhr2"
"Basp1",0,1.72051103202882,0.872,0.073,0,"Tuft","Basp1"
"Cystm1",0,1.71907469772278,0.989,0.724,0,"Tuft","Cystm1"
"Ccnj",0,1.71118536816429,0.86,0.06,0,"Tuft","Ccnj"
"Ly6g6f",0,1.70277576910548,0.86,0.054,0,"Tuft","Ly6g6f"
"Pik3r5",0,1.61231820809989,0.878,0.054,0,"Tuft","Pik3r5"
"Strip2",0,1.60896945248876,0.859,0.058,0,"Tuft","Strip2"
"Dbi",0,1.60223865521522,0.981,0.6,0,"Tuft","Dbi"
"Adh11",0,1.54109292543444,0.898,0.308,0,"Tuft","Adh1"
"Tmem176b",0,1.53565741798281,0.901,0.408,0,"Tuft","Tmem176b"
"Ethe1",0,1.51540279490066,0.763,0.057,0,"Tuft","Ethe1"
"Vav1",0,1.50572588297777,0.849,0.045,0,"Tuft","Vav1"
"S100a1",0,1.5041414062603,0.862,0.218,0,"Tuft","S100a1"
"Lima1",0,1.48554182662368,0.952,0.395,0,"Tuft","Lima1"
"Tspan6",0,1.45820739331912,0.756,0.041,0,"Tuft","Tspan6"
"Alox5",0,1.44201148866023,0.805,0.043,0,"Tuft","Alox5"
"Abhd2",0,1.40407636016992,0.853,0.169,0,"Tuft","Abhd2"
"Suco",0,1.39876561213253,0.859,0.142,0,"Tuft","Suco"
"Ehf",0,1.37029645250292,0.811,0.112,0,"Tuft","Ehf"
"Bcl2l14",0,1.36184880914925,0.798,0.107,0,"Tuft","Bcl2l14"
"Spib",0,1.3603579363718,0.773,0.039,0,"Tuft","Spib"
"2200002D01Rik",0,1.35997533037059,0.846,0.146,0,"Tuft","2200002D01Rik"
"Scand1",0,1.34163269678825,0.929,0.488,0,"Tuft","Scand1"
"Sox9",0,1.32271588894068,0.783,0.081,0,"Tuft","Sox9"
"Tspan8",0,1.31342782281923,0.847,0.204,0,"Tuft","Tspan8"
"Bmx",0,1.29761578158865,0.775,0.041,0,"Tuft","Bmx"
"Plcg2",0,1.29750921214646,0.789,0.05,0,"Tuft","Plcg2"
"Irf7",0,1.26998562548233,0.773,0.152,0,"Tuft","Irf7"
"Sh2d7",0,1.26947532275415,0.75,0.04,0,"Tuft","Sh2d7"
"Rgs22",0,1.24399357170228,0.73,0.038,0,"Tuft","Rgs22"
"D8Ertd738e",0,1.23575888104245,0.864,0.299,0,"Tuft","D8Ertd738e"
"Sdc4",0,1.23387568933384,0.813,0.197,0,"Tuft","Sdc4"
"Ccdc28b",0,1.21375828577037,0.748,0.076,0,"Tuft","Ccdc28b"
"Eps8l3",0,1.20643941791168,0.859,0.253,0,"Tuft","Eps8l3"
"Inpp5d",0,1.19022882101722,0.767,0.035,0,"Tuft","Inpp5d"
"Cpne3",0,1.18925394886904,0.733,0.089,0,"Tuft","Cpne3"
"Plk2",0,1.15941866295934,0.704,0.064,0,"Tuft","Plk2"
"Nebl",0,1.13122607070547,0.733,0.026,0,"Tuft","Nebl"
"Ptgs1",0,1.12738464334343,0.679,0.036,0,"Tuft","Ptgs1"
"Krt23",0,1.12295652149324,0.709,0.036,0,"Tuft","Krt23"
"Dpysl2",0,1.11396820014115,0.766,0.174,0,"Tuft","Dpysl2"
"Itpr2",0,1.10548783342421,0.684,0.055,0,"Tuft","Itpr2"
"Ffar3",0,1.07665752571632,0.712,0.053,0,"Tuft","Ffar3"
"Larp1b",0,1.07549518885713,0.779,0.159,0,"Tuft","Larp1b"
"Fes",0,1.05579311225335,0.688,0.041,0,"Tuft","Fes"
"Tmem245",0,1.04039041243317,0.723,0.137,0,"Tuft","Tmem245"
"Limd2",0,0.984599691379276,0.648,0.037,0,"Tuft","Limd2"
"Trak1",0,0.984133856608518,0.692,0.112,0,"Tuft","Trak1"
"Pik3cg",0,0.973419370852607,0.634,0.034,0,"Tuft","Pik3cg"
"Acot71",0,0.946518998858188,0.665,0.097,0,"Tuft","Acot7"
"Clmn1",0,0.939419371157235,0.707,0.105,0,"Tuft","Clmn"
"Ano6",0,0.914360546555337,0.681,0.106,0,"Tuft","Ano6"
"Smpx",0,0.893315220373557,0.577,0.019,0,"Tuft","Smpx"
"Pygl",0,0.886232995375479,0.579,0.03,0,"Tuft","Pygl"
"Hmx2",0,0.872563449364919,0.572,0.018,0,"Tuft","Hmx2"
"Ncf2",0,0.86194964329908,0.571,0.048,0,"Tuft","Ncf2"
"Ly6g6d",0,0.861776767805342,0.583,0.024,0,"Tuft","Ly6g6d"
"Pea15a",0,0.857057028933074,0.603,0.04,0,"Tuft","Pea15a"
"Svbp",0,0.852364740238203,0.537,0.042,0,"Tuft","Svbp"
"Chdh",0,0.840202855436696,0.589,0.043,0,"Tuft","Chdh"
"Il17rb",0,0.833853100742966,0.554,0.024,0,"Tuft","Il17rb"
"Runx1",0,0.820070032984973,0.576,0.022,0,"Tuft","Runx1"
"Ptprc",0,0.819224125578217,0.512,0.02,0,"Tuft","Ptprc"
"Folr1",0,0.818739734038043,0.476,0.017,0,"Tuft","Folr1"
"Plcb2",0,0.808360659230941,0.522,0.024,0,"Tuft","Plcb2"
"Ano7",0,0.76944280206729,0.533,0.028,0,"Tuft","Ano7"
"Slco4a1",0,0.760741260386291,0.506,0.03,0,"Tuft","Slco4a1"
"Kalrn",0,0.736856095465243,0.502,0.019,0,"Tuft","Kalrn"
"Ccdc129",0,0.723723788079842,0.504,0.017,0,"Tuft","Ccdc129"
"St6galnac6",0,0.711492042427108,0.492,0.026,0,"Tuft","St6galnac6"
"Chat",0,0.686763492275259,0.462,0.014,0,"Tuft","Chat"
"Gabarapl2",1.91565529935233e-307,1.32525025078123,0.863,0.331,2.97118136929546e-303,"Tuft","Gabarapl2"
"Isg15",1.84521290582471e-305,1.43293880704882,0.515,0.038,2.86192521693413e-301,"Tuft","Isg15"
"Tmem141",1.11187887172688e-304,0.755142916772062,0.514,0.038,1.72452413004839e-300,"Tuft","Tmem141"
"Mlip",2.73822839831929e-299,0.659050646463774,0.427,0.012,4.24699224579322e-295,"Tuft","Mlip"
"Samd9l",2.58028613711773e-298,1.00478415621805,0.741,0.161,4.00202379866961e-294,"Tuft","Samd9l"
"Abhd16a",1.59674572028994e-295,0.940913475685589,0.656,0.111,2.47655261216969e-291,"Tuft","Abhd16a"
"Sec14l1",1.48501359741382e-287,0.720219472953568,0.564,0.064,2.30325608958883e-283,"Tuft","Sec14l1"
"Ndufa13",5.40957383196619e-287,1.20323062951069,0.958,0.684,8.39024901337957e-283,"Tuft","Ndufa13"
"Tmem229a",1.69644991892802e-286,0.561610866829218,0.399,0.008,2.63119382425736e-282,"Tuft","Tmem229a"
"Plek",1.78206671057251e-284,0.620110294995781,0.417,0.014,2.76398546809796e-280,"Tuft","Plek"
"Sec11c",4.6419013059534e-284,1.20930356505223,0.766,0.207,7.19958892553373e-280,"Tuft","Sec11c"
"Ctsc",2.25983380458259e-283,0.818878153668276,0.51,0.046,3.50500223090759e-279,"Tuft","Ctsc"
"Dmxl2",8.02682207199657e-283,0.740325569674248,0.554,0.061,1.24496010336667e-278,"Tuft","Dmxl2"
"Mlec",4.86862269349242e-282,1.08092365036893,0.824,0.258,7.55123379760675e-278,"Tuft","Mlec"
"Myo15b",1.17443575611917e-281,1.19696508912433,0.9,0.399,1.82154985774084e-277,"Tuft","Myo15b"
"Aldh3a2",7.18872319205176e-279,0.934837842856259,0.67,0.129,1.11497096708723e-274,"Tuft","Aldh3a2"
"Trim40",1.77478654742236e-277,0.641437979717742,0.461,0.03,2.75269393505209e-273,"Tuft","Trim40"
"Galk1",9.27626131910434e-277,0.844617389032128,0.594,0.087,1.43874813059308e-272,"Tuft","Galk1"
"Spa17",3.81236839955255e-275,0.808707533143788,0.538,0.062,5.912983387706e-271,"Tuft","Spa17"
"Csk",2.23831003374458e-272,0.800237158484117,0.64,0.111,3.47161886233784e-268,"Tuft","Csk"
"Myl6",7.32189819694633e-270,1.21935999980299,0.985,0.845,1.13562641034638e-265,"Tuft","Myl6"
"Atp5e",7.74034225937648e-270,1.2432547357507,0.972,0.787,1.20052708442929e-265,"Tuft","Atp5e"
"Ppp1r1b",3.82001794027774e-268,0.791514258245409,0.64,0.107,5.92484782537078e-264,"Tuft","Ppp1r1b"
"Lgals3",6.299238430485e-268,0.853844134003795,0.585,0.079,9.77011880568223e-264,"Tuft","Lgals3"
"Rbm38",3.69780994871451e-267,0.642832498917152,0.468,0.036,5.73530323045621e-263,"Tuft","Rbm38"
"Ckmt1",3.68775619504808e-266,1.05276643160272,0.819,0.258,5.71970985851958e-262,"Tuft","Ckmt1"
"Gprc5c",9.56075220040375e-264,0.773073966906763,0.557,0.077,1.48287266628262e-259,"Tuft","Gprc5c"
"Rhog",7.14203696845564e-263,0.615648281475953,0.477,0.041,1.10772993380747e-258,"Tuft","Rhog"
"Syne2",7.17415764315715e-263,0.90764504295986,0.694,0.148,1.11271185045367e-258,"Tuft","Syne2"
"Inpp5j",4.40263357286834e-261,0.81444611906002,0.654,0.126,6.82848467151879e-257,"Tuft","Inpp5j"
"Rpl41",1.64578472168e-258,1.13012646486174,0.976,0.835,2.55261210332568e-254,"Tuft","Rpl41"
