,names,scores,logfoldchanges,pvals,pvals_adj
12334,Apobec4,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12335,Tmem217,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12336,Cryz,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12337,D930020B18Rik,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12338,Kcp,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12339,Gm29773,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12340,Gm45076,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12341,Wdr38,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12342,Ror1,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12343,Il22ra1,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12344,9530077C05Rik,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12345,Foxred2,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12346,Gm13420,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12347,Gm48882,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12348,Polh,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12349,Gm10093,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12350,Adam32,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12351,Gm13375,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12352,Nos3,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12353,Dusp27,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12354,Gm10306,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12355,Gm15420,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12356,0610043K17Rik,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12357,Dnd1,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12358,Gm42669,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12359,Gm3055,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12360,Hcrtr1,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12361,Ccdc169,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12362,Gm44837,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12363,Hes7,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12364,Tomm6os,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12365,Gm13565,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12366,Sntg1,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12367,Zfp960,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12368,9230116L04Rik,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12369,Gm15445,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12370,Gm16105,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12371,Arhgef37,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12372,5730422E09Rik,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12373,Lpar5,-3.6117535,-21.29857,0.0003084069641606493,0.0007270700642932324
12374,Eif2ak4,-3.613136,-2.305408,0.0004173474261456606,0.0009662145446848706
12375,Ccdc181,-3.6163373,-1.9068596,0.0004220656679721597,0.0009763365826518857
12376,Pfn2,-3.6181636,-1.9080317,0.00041904686140731273,0.0009697498335502472
12377,Gatc,-3.6194422,-1.90638,0.00041819256490709393,0.0009679055730088068
12378,Krt10,-3.6202164,-1.5510528,0.0004230009229061536,0.000977961443217063
12379,Fmr1nb,-3.6206841,-22.079542,0.0002979920152374962,0.0007080562175630454
12380,Clstn1,-3.6209419,-1.2780615,0.00042939151076451054,0.0009923283681390188
12381,Mecp2,-3.6280525,-1.2394361,0.00041572418605868253,0.0009627206861177807
12382,Tor4a,-3.6290662,-2.3092842,0.0003949825588629623,0.0009178367778590593
12383,Atp8a2,-3.631645,-1.3687246,0.00040694517331993715,0.0009435558944454437
12384,Lnpep,-3.6327589,-1.0004545,0.0004127093612598697,0.0009562639669449816
