,names,scores,logfoldchanges,pvals,pvals_adj
128,Phb2,36.692,1.2531494,2.743125836109815e-231,2.8729882673106208e-229
129,Top2a,36.639378,3.002699,6.360057504862435e-185,4.2523203664428955e-183
130,Slc12a2,36.51873,3.194967,3.2572565009760297e-178,2.070815106708234e-176
131,Gmnn,36.497807,2.2207596,9.06021972019729e-192,6.387631171605241e-190
132,Hnrnpab,36.46321,1.3149185,8.138527200141883e-223,7.8437220393282335e-221
133,Rpl18,36.38145,0.76438415,3.100430603414904e-229,3.1918580740496957e-227
134,Rplp2,36.376152,1.0291061,1.8293885707699135e-224,1.8014506257489165e-222
135,Txn2,36.367943,1.560027,1.0016526546050828e-215,9.259665535096682e-214
136,Cyc1,36.317,1.3261212,4.96595271058721e-231,5.1711550093752676e-229
137,Rps15,36.116856,1.0705299,2.021508699282007e-227,2.069362492784784e-225
138,Spc24,36.090958,2.2703636,1.629227542999622e-189,1.1353836096773135e-187
139,Rpl11,36.06888,0.852575,2.4074324703857135e-218,2.2601175611874995e-216
140,Smc4,36.002728,2.3188279,1.0165634854356661e-188,7.003465320383587e-187
141,Ccnd2,35.928467,1.7651882,1.658105532835639e-213,1.4655226414365338e-211
142,Zfp36l2,35.77458,1.722639,1.7387761699445042e-202,1.3817932203168626e-200
143,Rfc4,35.68798,2.381027,4.131929337176703e-182,2.722415551283807e-180
144,Nap1l1,35.67366,1.5101991,7.812219067371518e-207,6.404959153018305e-205
145,Naca,35.558163,0.92195636,1.42697766147483e-224,1.4206268268276068e-222
146,Cks1b,35.50084,2.0240836,1.7093522116684739e-192,1.2098340907508234e-190
147,Rpl24,35.412716,0.866363,7.68554827399633e-223,7.446761988050242e-221
148,Rps17,35.32636,1.0148056,1.1792199317026877e-213,1.0473669579667157e-211
149,Nop58,35.299103,1.6350257,4.17074899112733e-197,3.1227190483568633e-195
150,Lsm5,35.242332,1.6191361,9.065417670985669e-200,6.930645686944698e-198
151,Cdca8,35.155563,2.5371728,3.828658067394367e-178,2.4255753679412077e-176
152,Cdca3,35.081474,2.4523363,4.703184768758222e-181,3.0764261669722102e-179
153,Srsf3,35.080196,1.1886547,7.741677235301447e-210,6.61657782200127e-208
154,Mrpl18,35.069756,1.4207085,4.357341517666978e-207,3.6050534684295877e-205
155,Sdc4,34.991173,1.6524497,2.744863654109677e-196,2.029966716278091e-194
156,Rps25,34.892986,0.9256019,1.3064632499744565e-211,1.1326223744635013e-209
157,Rpl36,34.881783,0.85092324,5.174603274688041e-215,4.735284683539021e-213
158,Nucks1,34.779697,1.5092587,4.10837744308798e-198,3.1016537871379633e-196
159,Rps7,34.762695,0.86212283,7.297617646436478e-213,6.387706963081283e-211
160,Nop10,34.687397,1.2294769,2.70891046212975e-208,2.2723494751541174e-206
161,Mapk13,34.669754,1.4327023,1.2836535376928974e-203,1.0337119310870047e-201
162,Hnrnpf,34.66176,1.060259,8.458310926098429e-209,7.161501666821375e-207
163,Cdk4,34.614006,1.2204882,6.056089458523022e-211,5.225251661856125e-209
164,Cyba,34.524227,1.5741967,2.7715182611164152e-201,2.173902137366594e-199
165,Nudt21,34.495815,1.4872719,5.331580203705849e-196,3.9110486522650317e-194
166,Rpl35a,34.27977,0.82293224,2.715960184088316e-203,2.1678626685240613e-201
167,Dbi,34.2059,1.6714299,2.188678621582005e-220,2.0871930497075972e-218
168,Phpt1,34.178967,1.1994354,5.3459944776450135e-204,4.34368044576009e-202
169,Cdk1,34.01491,2.5093122,6.887332270877131e-172,4.064872098241783e-170
170,Dkc1,34.000134,2.069958,2.0812409967509484e-173,1.2404607111885012e-171
171,Nme1,33.944626,1.0639304,8.165315989613228e-208,6.78657616586248e-206
172,Tmpo,33.90893,1.6829315,2.2222394788496386e-185,1.491287300639874e-183
173,Ppih,33.848885,1.8985622,1.2359155475830556e-176,7.721915105743926e-175
174,Rpl6,33.753696,0.8778993,2.1177527347732308e-197,1.5921809876081398e-195
175,Rpl4,33.670555,0.89646494,4.395859040731075e-202,3.4781034916596656e-200
176,Cox5a,33.6547,1.2393591,5.431639991770651e-207,4.473449318676928e-205
177,Rsl1d1,33.4478,1.4068005,1.710571821582946e-186,1.1608183833431235e-184
178,Usp1,33.383347,2.0318751,4.060507726912306e-170,2.3208939906600654e-168
179,Rbm3,33.356056,1.0992419,5.005612380482476e-194,3.627867628878479e-192
180,Rps16,33.3133,0.7953908,5.201989758093341e-193,3.71082096168871e-191
181,Prdx1,33.296734,0.98532516,1.3033703899088746e-198,9.881074516635523e-197
182,Hsp90ab1,33.284992,0.80719537,1.9106630457462595e-203,1.5318275984901095e-201
183,Rps14,33.279842,0.7507799,1.2487372504397366e-193,9.014290932556807e-192
184,Snrpa1,33.25016,1.6223183,3.116406038243533e-179,1.995270706958819e-177
185,U2af1,33.148335,1.2884023,5.221890927676613e-187,3.556971493179419e-185
186,Mrpl42,33.144417,1.3861549,1.6161853059960358e-187,1.1050438324280066e-185
187,Sf3b5,32.95889,1.3002322,1.5790131283431943e-187,1.0837173815322098e-185
188,Plcb3,32.943405,1.8179517,5.969291580684174e-175,3.6539727753519106e-173
189,Exosc8,32.912495,1.9722797,1.3688112642331622e-166,7.584553913345769e-165
190,Hmga2,32.827583,2.031394,2.9138038994301376e-167,1.6294818782029218e-165
191,Mrto4,32.71548,1.8425626,3.876130826640916e-167,2.160972752243285e-165
192,Mt1,32.59485,1.7309642,4.894568397414233e-202,3.855855860554282e-200
193,Hat1,32.57973,2.0482357,1.603810748060736e-163,8.546896160033082e-162
194,Gar1,32.465614,1.9445124,1.1948498345853767e-163,6.386278511165912e-162
195,Cdca7,32.421772,2.9924524,8.587787647780933e-151,4.010364030673781e-149
196,Mif,32.402695,1.1361551,9.842884947614773e-191,6.912528386272561e-189
197,Ndufa4,32.206318,1.0063703,1.474688751163848e-193,1.0603129159657842e-191
198,Cnbp,32.20523,1.1420411,1.637083927479261e-180,1.0593687029284547e-178
199,H2afx,32.127872,1.9830413,1.204896179432457e-161,6.273423527338129e-160
200,Snrpb,32.12627,1.0920718,8.599842860605028e-183,5.707712556457968e-181
201,Mgst1,32.067825,1.6426417,8.313760642189066e-190,5.816101508719061e-188
202,Tomm40,32.04902,1.3311709,9.74475933798938e-176,6.046756659076356e-174
203,Fbl,31.980576,1.5592029,1.462987717830721e-168,8.257904816004622e-167
204,Otc,31.887226,1.7032641,1.2602546538145698e-174,7.662602037740332e-173
205,Cenpw,31.834433,2.2200835,2.1040165675895153e-155,1.0331348560475454e-153
206,Hdgf,31.82317,1.3225915,3.7713741780916504e-173,2.2404435650112335e-171
207,Hmgn1,31.7873,1.0838883,7.557999302266753e-180,4.873430226255207e-178
208,Siva1,31.682217,1.6217707,8.307141445053271e-165,4.533647465148199e-163
209,Mcm7,31.678835,2.2291384,1.9675482483204383e-154,9.63513694900487e-153
210,Ccna2,31.666548,2.4271486,1.4448355256149392e-153,7.056327463239105e-152
211,Lgals4,31.565939,1.3521708,3.1569265525032527e-193,2.2608834863559856e-191
212,Snrpd2,31.450768,1.0241563,4.523261342851939e-177,2.845728203858829e-175
213,Snrpd3,31.374971,1.2154275,4.280486728362041e-171,2.485837789461276e-169
214,Kcne3,31.349205,2.8334115,1.91703200618565e-144,8.309737540688467e-143
215,Eif1ax,31.330534,1.3045608,2.857850401347361e-169,1.6232411104079257e-167
216,Rpl15,31.310886,0.81499153,5.136261909911404e-171,2.9732884838876906e-169
217,Mki67,31.174555,2.6229053,1.0327808070926072e-147,4.654964040724116e-146
218,Cenpv,31.162487,1.3931608,3.2533566185840606e-165,1.7862899567310482e-163
219,Atp5o-1,31.095526,1.0734767,1.0328478579789074e-180,6.707587935025027e-179
220,Ppil1,31.076542,1.6901636,9.526336832396975e-157,4.741969699620901e-155
221,Acot1,30.986925,1.4326415,4.2867152694569265e-175,2.6508871661191145e-173
222,Snu13,30.958813,1.1402566,5.369294516520913e-169,3.040195229526326e-167
223,Tipin,30.884752,2.0015733,3.9184833869595674e-151,1.844129882813517e-149
224,Srsf2,30.878147,1.0387754,4.257215085161171e-172,2.520800004184159e-170
225,Rps27l,30.84533,0.92978704,9.027075478774119e-174,5.433939554814227e-172
226,Atp5g1,30.839846,0.76629555,2.992652534732926e-182,1.9789734042637184e-180
227,Sfn,30.795853,1.8790809,3.0917166097631906e-153,1.5058820766747112e-151
228,Cldn7,30.735407,0.99151784,1.3464500819011295e-176,8.383618224730779e-175
229,Rpl19,30.734505,0.59321994,1.5965985065692656e-169,9.097096962430352e-168
230,Cenpx,30.662167,1.2852832,2.9281585273340764e-163,1.5558740280576578e-161
231,Nsmce4a,30.60789,1.3735222,4.508056061749246e-161,2.3337562223667026e-159
232,Ndufab1,30.567514,0.98158836,1.664858359805268e-173,9.95563320835368e-172
233,Park7,30.278606,0.949637,1.2528385473789446e-167,7.027920012371237e-166
234,Cnih4,30.269323,1.4824818,3.6638880581192735e-157,1.8338670642282629e-155
235,Dnajc9,30.254417,1.9254334,5.375102898185694e-147,2.387046309123201e-145
236,G3bp1,30.190687,1.1094415,3.4273387123435996e-162,1.7999985544624256e-160
237,Btf3,30.18267,0.93060565,1.8457293376721416e-164,1.0012805350084291e-162
238,S100g,30.132074,1.6262249,2.937623361319948e-166,1.622768222065736e-164
239,Lmnb1,29.982256,2.1689382,1.2850420793750364e-141,5.402245344825124e-140
240,Rcc2,29.947922,1.7183139,1.9464801490951894e-148,8.839166371292165e-147
241,Ssrp1,29.92132,1.5220852,5.982325177963221e-151,2.8008720904267597e-149
242,Rpl27,29.904331,0.8034397,7.698124436288245e-161,3.962565814235986e-159
243,Gnl3,29.839945,1.7225318,1.5735328853881163e-146,6.97086610032941e-145
244,Rps13,29.835325,0.7500992,7.0707247033115136e-158,3.5686479359136855e-156
245,Acp1,29.824282,1.2187046,2.3853534442377347e-157,1.1972359849347235e-155
246,Rps29,29.758104,0.7784073,2.2969335908605536e-162,1.2098296433954177e-160
247,Ppif,29.755035,1.5702174,1.1456640867744805e-150,5.3363207167781e-149
248,Shmt1,29.72645,1.9532582,1.1113343270593722e-141,4.682852714415992e-140
249,Ppp1r14b,29.716978,1.0565597,1.466133385766602e-165,8.074428819667192e-164
250,Nolc1,29.692818,1.7364663,9.640207826751059e-145,4.1887512137386675e-143
251,Hells,29.634901,2.6581452,1.9900819589470676e-134,7.942355729991612e-133
252,Hes1,29.614695,2.0625677,8.47884780912759e-142,3.5810779359809514e-140
253,Fkbp3,29.565397,1.1636071,1.420007051653662e-156,7.049070621619918e-155
254,Sae1,29.551708,1.4688009,9.087538720709147e-149,4.158007931326491e-147
255,Rpa3,29.504402,1.3475649,1.1101096647331665e-151,5.25171723637082e-150
256,Ndufa10,29.375372,1.1489537,9.220113961407564e-159,4.679530668536237e-157
257,Acaa2,29.270788,1.3654099,4.6546060235298186e-163,2.465988495331485e-161
258,Cox7b,29.244352,0.9642028,1.5013696859224548e-161,7.794646802071334e-160
259,Mrps25,29.16357,1.4458252,2.825220529434061e-147,1.2670834349706868e-145
260,Mrpl15,29.102299,1.2009083,3.6250493318835457e-152,1.742235247862015e-150
261,Atp5a1,29.015465,0.86918855,7.049402178680211e-160,3.5979751570565284e-158
262,Polr2h,28.990225,1.4849198,4.945342123615759e-144,2.1385358935034352e-142
263,Rpl26,28.949957,0.6149721,1.3577293077905896e-151,6.406431595796274e-150
264,Pdlim1,28.918257,1.858432,7.12095460921529e-138,2.9323767400993597e-136
265,Rps26,28.81799,0.71279097,9.44002466056084e-152,4.489338761803199e-150
266,Rrm1,28.747955,2.2347953,2.4299899965382167e-132,9.468599730596979e-131
267,Pabpc1,28.691843,0.9811644,1.6472311909253116e-150,7.652867166250185e-149
268,Mcm3,28.687628,2.5018883,6.943374929918043e-130,2.6155303608146574e-128
269,Rpl31,28.530779,0.84788054,3.407564064379778e-147,1.5244852662344988e-145
270,Ssb,28.510212,0.9768411,3.8072331213362157e-149,1.7552991584094374e-147
271,Rpl41,28.447731,0.8104193,7.963196884333607e-145,3.47675094812628e-143
272,Agmat,28.419195,1.7929454,6.907622726888328e-136,2.787510382817141e-134
273,Rps28,28.402773,0.7042797,4.5910662233463085e-152,2.200675367746343e-150
274,Bzw2,28.346401,1.2392936,3.1326228798050585e-143,1.34821838382869e-141
