,names,scores,logfoldchanges,pvals,pvals_adj
9845,Tmem136,1.0327673,0.22105096,0.3017701903119654,0.4190310105668069
9846,Abcd3,1.032383,0.08072832,0.30195462420015473,0.41918517475922273
9847,Rnft2,1.0314873,0.3218228,0.30236972376570775,0.41972869710906946
9848,Ttc14,1.0298098,0.051737197,0.3031641882898277,0.42076589095976086
9849,Serpinb6b,1.0286981,0.4050451,0.3036786531043803,0.42129495791381855
9850,Prkce,1.0282427,0.1676877,0.3038997401622511,0.42149099071903295
9851,Aspg,1.0279703,0.18154202,0.3040280832467058,0.4216361419393349
9852,Tmem170b,1.0274593,0.1398553,0.30426277825905235,0.42188476835267735
9853,Nptxr,1.0273944,0.45670712,0.30429926896462883,0.42188476835267735
9854,Mb21d1,1.0273758,0.43811753,0.3043021652179789,0.42188476835267735
9855,Gba,1.026973,0.18094447,0.3044915595678127,0.42211446731363444
9856,4930413F20Rik,1.0267296,1.0036509,0.30462118582316944,0.42224081028902005
9857,Gm15816,1.0260935,0.8761966,0.3049134950992235,0.42250196269392637
9858,4930548H24Rik,1.025974,0.7120065,0.3049743764576156,0.42255342888966746
9859,Zfp202,1.0256844,0.23287113,0.3050986419454883,0.4226598043917575
9860,Erbin,1.0249678,0.07012548,0.30544015507382266,0.4230334959912803
9861,BC048602,1.0249377,0.92120576,0.30545063860386906,0.4230334959912803
9862,Ccdc157,1.0249069,0.26350015,0.30546345640314193,0.4230334959912803
9863,Kdm4b,1.0245632,0.14411266,0.3056287158637506,0.42322943382408285
9864,Tnk1,1.0236691,0.101120956,0.3060523032475318,0.42378304144737966
9865,Mthfd2l,1.023178,0.06150144,0.3062842625287847,0.4239660813044373
9866,AC161172.1,1.0231707,1.2335267,0.3062914036776951,0.4239660813044373
9867,Trove2,1.023135,0.08466347,0.30630358458286877,0.4239660813044373
9868,Gm47061,1.0226748,1.4689386,0.30652801037727506,0.4241447904785056
9869,Plekhh3,1.0226728,0.17868653,0.30651911817612915,0.4241447904785056
