,names,scores,logfoldchanges,pvals,pvals_adj
9305,Wfdc9,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9306,Il1rn,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9307,Gm15884,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9308,1700030A11Rik,-1.3794873,-18.720844,0.16781894756329194,0.22169600282844462
9309,Ccdc84,-1.3808905,-0.5898803,0.16895407141069096,0.22300351623429096
9310,Napb,-1.381112,-1.0168164,0.16881766195793915,0.22287576635426562
9311,Trpc5,-1.3821405,-0.729021,0.16855766087458604,0.222567333901302
9312,Tmem253,-1.3827277,-0.5379046,0.16839003954496543,0.22236340224753826
9313,Sh3glb2,-1.3844259,-0.43039843,0.16789538285375732,0.22177961531562856
9314,App,-1.3863137,-0.21644193,0.1673310821942777,0.22164144521416296
9315,Fnip2,-1.3899964,-0.6276457,0.16616206842307235,0.2203351331635507
9316,Zfp282,-1.3900819,-0.5931678,0.16614924477596582,0.2203351331635507
9317,Rsph1,-1.3902013,-1.0203747,0.16605576487418616,0.2202460922936329
9318,Gpr155,-1.3915118,-0.87928855,0.1656665725374847,0.21976443766764045
9319,Hdhd5,-1.3938886,-0.78799194,0.16496106916090542,0.21886296423384533
9320,St3gal1,-1.3941973,-1.3046392,0.16479692872532417,0.21866238183989978
9321,Zfp87,-1.3947747,-0.7863651,0.1647153113044237,0.2185712729623457
9322,Zcchc2,-1.3954012,-0.56642365,0.1645448806146559,0.21836228848476866
9323,Rnf34,-1.3954508,-0.5009595,0.16453616592968476,0.21836228848476866
9324,Ano1,-1.3965902,-1.3086618,0.16405875370804676,0.21778567250025874
9325,Nr3c2,-1.3976848,-0.7907519,0.16380774159592038,0.2174695648989974
